"","Site","year","crop","grass","shrub","aquatic","high"
"1","both_1",1,-0.0479705836974281,1.80427969652371,2.01907315296627,-0.917021432352492,1.32896076737877
"2","both_10",1,-0.364384174969743,-0.209757696827314,-1.03016134806988,2.04333148523199,-1.20818071539329
"3","both_11",1,-0.341980654844523,-0.274136946843216,-1.04287906605845,2.12869083599989,-0.443580809724121
"4","both_12",1,-0.364384174969743,-0.761021183303639,0.473566289281129,0.744010521399925,-0.182499546889809
"5","both_15",1,-0.287464705930913,-0.733119376083598,-1.10958087121813,2.00086086839927,0.453529158670533
"6","both_16",1,-0.364384174969743,-0.588546951525327,0.0761438826887181,0.0815418407872996,0.435653559492672
"7","both_17",1,-0.363587692611638,-0.750229198929281,-1.03094830806041,2.04643275980502,0.116222255239329
"8","both_18",1,-0.364384174969743,-0.439324154790591,-0.81512045647075,1.55276443021229,0.0450975965609528
"9","both_19island",1,-0.364384174969743,-0.143204729204271,-1.23560693591925,-1.24070021902904,-1.32677593286491
"10","both_2",1,0.639829405154509,-0.088625448514049,0.674907385573639,0.177408962708505,-0.402558994414371
"11","both_20",1,-0.0289897374833376,2.67375727629663,-0.850081082839448,0.43166359614323,-0.554677513275043
"12","both_22",1,-0.333252529676586,-0.80191915180536,-1.0993945886729,2.13476515560359,0.393537504203158
"13","both_24",1,-0.364384174969743,0.200641427064882,-0.585272711625441,-0.0926911598046501,1.1632436793279
"14","both_25",1,-0.35997686439046,-0.587374499131036,-0.180655082163447,0.362496946625959,-0.340418051031469
"15","both_26",1,-0.364384174969743,0.613742687149718,0.312327138756683,0.926378263131899,0.242922272805603
"16","both_32",1,-0.314171088087331,2.25325834527643,-0.388623023173009,0.832226178694571,0.0353573928845654
"17","both_34",1,2.10998335183532,2.63877490607103,0.608866065525576,-1.03415268822109,0.998717796552041
"18","both_36",1,5.74350476521394,0.337094454963045,-0.447469120351484,-1.47038999526268,2.42616538331821
"19","both_38",1,-0.353484474455269,-0.814616705485581,-0.727901960426349,1.20430156294797,-0.160949895798109
"20","both_4",1,0.628683705518587,-0.419689344676345,1.58213044029261,-0.268036310103477,-0.328884676321032
"21","both_40",1,-0.363271882663443,-0.81427013187937,-0.00553680209850671,-0.0500351193974485,-0.543993687597995
"22","both_41",1,2.88948320770944,0.706612726705893,-1.02757642288172,0.385172421664045,1.91483824131233
"23","both_42",1,0.214544354752439,-0.68058807227783,-0.552413804963261,1.2257106733204,-0.553900706290131
"24","both_43",1,-0.364384174969743,-0.571776214620996,0.973598042975879,0.662684002796801,-0.230664761515052
"25","both_46",1,2.46375115850201,0.671221929794228,1.32988746620508,-1.140343169716,1.66412517886518
"26","both_49",1,-0.364384174969743,-0.0387877404680196,0.975461195151884,0.669656973836777,-0.0844306839121245
"27","both_4island",1,-0.364384174969743,-0.950685959878584,-1.2372383147663,-1.53146266499744,-1.32677593286491
"28","both_50",1,0.612166289714702,-0.471242473193129,1.0781628126477,-0.692493854145004,-0.854253022159028
"29","both_51",1,-0.36019296628311,-0.317568573163806,0.688980861965178,-0.145408387826643,-0.425056389074083
"30","both_52",1,-0.364384174969743,-0.861009969407498,-0.569601220352521,-0.206924878517175,-0.0152528511912814
"31","both_53",1,-0.301087803591641,-0.928215132748894,-0.0774619473792916,0.384571753746741,-0.403953964194964
"32","both_54",1,-0.363436644032901,-0.936251387348359,-0.0384532376699847,0.500608259691068,1.44228362346106
"33","both_55",1,0.545035228345386,1.70544687339105,1.96107355259598,-1.06410166412778,2.56728206504139
"34","both_56",1,-0.00977722212973512,-0.551751312545057,2.42941229395262,-1.05355543716976,0.108106238335264
"35","both_57",1,0.510872164865735,1.47142216750511,0.534088943244751,-0.31382783703899,-0.58235398270849
"36","both_58",1,-0.364384174969743,-0.0387877404680196,0.975461195151884,0.669656973836777,-0.0844306839121245
"37","both_59",1,-0.343908692971485,0.971358008509301,0.314917807496653,0.0911025153310054,0.0331097648180112
"38","both_60",1,-0.364236899747027,0.0944483121768967,-0.532347609332121,-0.238156345717289,1.72261846282699
"39","both_61",1,-0.337311186853799,-0.593138108456473,0.14855055241158,0.00136207558628945,-0.722798306640617
"40","both_62",1,-0.345169584239446,0.582350232300126,2.99020335462423,-1.18176780824774,0.17616604167878
"41","both_63",1,-0.359580282963722,-0.559294927886484,0.964197296207113,-1.00376052385543,-0.259222378664969
"42","both_64",1,-0.364384174969743,-0.392609974047743,-0.186972522210866,-0.927063685869896,0.229333537530506
"43","both_66",1,-0.364384174969743,-0.50772937907254,1.01021930294947,-0.0567795754688833,-0.625353571885064
"44","both_67",1,-0.364326645501154,0.0778602837582294,0.110510775224888,0.473152904411065,0.589822738885051
"45","both_68",1,-0.361285125856971,-0.767152776461821,-0.70812793880938,-0.879838913051707,0.988865370550368
"46","both_69",1,-0.364384174969743,0.461044383719122,-0.283185700579854,0.526915164029186,-0.961370858582033
"47","both_7",1,-0.363722686600595,-0.197142223568047,-0.902292420406294,1.98640670902929,-1.18275263326249
"48","both_75",1,-0.364384174969743,-0.530073422692093,1.08422650911306,0.469357205493647,-0.57798468745854
"49","both_77",1,-0.364384174969743,-0.736031190550028,-0.133557583668765,-1.15524942962874,0.0827899808346603
"50","both_78",1,-0.364384174969743,-0.512323516875003,2.23682642523887,0.115175718496655,-0.666244364737711
"51","both_79",1,-0.364384174969743,0.187970642082258,-0.346355524890792,-0.0119784976970091,-0.509113875351849
"52","both_8",1,-0.364384174969743,0.422213566674897,-0.559239152434695,0.525329792467457,3.65663227514178
"53","both_80",1,-0.364384174969743,-0.796755726725307,-0.20319838297335,-0.278118521095377,-0.385924348552627
"54","both_82",1,-0.364384174969743,0.314418541003352,-0.182223492070404,0.489618517824113,-0.383673683541705
"55","both_84",1,-0.364384174969743,-0.521390996218399,-0.111890758205819,-0.52704888634314,0.294177650635457
"56","both_85",1,-0.362110771512717,-0.873894714709216,-0.669880273064099,-0.618182157466092,-0.866655396808464
"57","both_88",1,-0.364345555239466,-0.647142270243867,-0.681521845562743,-0.334255769426512,-0.574369205186127
"58","both_90",1,-0.363303914153639,-0.76390965944026,-0.627210119112367,-0.575600678228623,-0.106589531582794
"59","both_91",1,-0.355588904777215,-0.632163723075598,-0.22740806093997,0.0315423739311257,0.33231863497752
"60","both_92",1,-0.362121652416248,0.121351385558938,-0.134476832133348,-0.302660375816506,-0.29182867650922
"61","both_94",1,-0.364384174969743,-0.70697874334328,-1.2372383147663,-1.4184061003391,-1.32677593286491
"62","both_95",1,-0.364384174969743,0.464607234676168,-1.23721666091654,-1.24972342636674,-1.32677593286491
"63","both_1",2,-0.0479705836974281,1.80427969652371,2.01907315296627,-0.917021432352492,1.32896076737877
"64","both_10",2,-0.364384174969743,-0.209757696827314,-1.03016134806988,2.04333148523199,-1.20818071539329
